name,roll_number,image_url
Aarav Sharma,CS2026-001,https://api.dicebear.com/7.x/pixel-art/svg?seed=Aarav
Ishani Gupta,CS2026-002,https://api.dicebear.com/7.x/pixel-art/svg?seed=Ishani
Vihaan Singh,CS2026-003,https://api.dicebear.com/7.x/pixel-art/svg?seed=Vihaan
Ananya Verma,CS2026-004,https://api.dicebear.com/7.x/pixel-art/svg?seed=Ananya
Kabir Malhotra,CS2026-005,https://api.dicebear.com/7.x/pixel-art/svg?seed=Kabir
Myra Kapoor,CS2026-006,https://api.dicebear.com/7.x/pixel-art/svg?seed=Myra
Advait Joshi,CS2026-007,https://api.dicebear.com/7.x/pixel-art/svg?seed=Advait
Saanvi Reddy,CS2026-008,https://api.dicebear.com/7.x/pixel-art/svg?seed=Saanvi
Reyansh Nair,CS2026-009,https://api.dicebear.com/7.x/pixel-art/svg?seed=Reyansh
Diya Iyer,CS2026-010,https://api.dicebear.com/7.x/pixel-art/svg?seed=Diya
